那边去,34
明年,34
喝酒,34
金荣,34
何苦来,34
办事,34
行礼,34
女孩子,34
大观园,34
复又,34
题目,34
王仁,34
藕官,34
说起,33
我不,33
书房,33
甄家,33
便不,33
这日,33
病的,33
馀者,33
道士,33
奇怪,33
房门,33
一笑,33
李嬷嬷,33
还了得,33
他又,33
非常,33
恍惚,33
朋友,33
厅上,33
新鲜,33
的好,33
笑了,33
大人,33
贾蔷,33
听着,33
哭着,33
我有,33
早些,33
不用说,33
越性,33
离了,33
琏二爷,33
无可,32
辛苦,32
登时,32
金陵,32
他是,32
过一,32
回头,32
看看,32
彼时,32
名唤,32
女婿,32
等语,32
省得,32
领了,32
一步,32
三四,32
饮食,32
我去,32
理他,32
庙里,32
来回,32
满面,32
要知,32
往那里去,32
写着,32
自从,32
恰好,32
与我,32
忙命,32
输了,32
更不,32
睡下,32
一层,32
磕了,32
往里,32
二哥哥,32
又怕,32
夜里,32
一百,32
谁不,32
弄了,32
宝钗等,32
春燕,32
清楚,31
倒有,31
便知,31
大夫,31
族中,31
正说,31
了一,31
一一的,31
嬷嬷,31
顽的,31
这两日,31
事来,31
有的,31
又恐,31
桂花,31
银钱,31
下去,31
无事,31
见问,31
一声儿,31
这几日,31
随便,31
张罗,31
上去,31
便命人,31
用手,31
受用,31
睡着,31
请老,31
诸人,31
洗了,31
收着,31
烦恼,31
呆呆的,31
顽话,31
一瞧,31
甄宝玉,31
而来,30
却又,30
以为,30
最是,30
因而,30
去后,30
也曾,30
急得,30
连日,30
说得,30
难得,30
这边,30
留心,30
月钱,30
老嬷嬷,30
相见,30
等物,30
说话儿,30
何苦,30
悄悄,30
三日,30
花了,30
准了,30
但只,30
的日子,30
拉住,30
这边来,30
背后,30
凭他,30
们的,30
派了,30
睡着了,30
荷包,30
大事,30
不防,30
瞧着,30
这不是,30
四五,30
无法,30
犯了,30
赏了,30
脾气,30
珍大爷,30
一跳,30
桌子,30
讲究,30
为什么不,30
伶俐,30
拣了,30
箱子,30
那人,29
其中,29
犹未,29
两边,29
正值,29
今见,29
便把,29
饭后,29
急了,29
你先,29
笑说道,29
找他,29
院门,29
榻上,29
还好,29
更觉,29
见是,29
终久,29
瞧他,29
孝敬,29
向他,29
人都,29
端了,29
院内,29
痛哭,29
直到,29
帖儿,29
说笑,29
尽了,29
左右,29
一杯,29
桃花,29
的样子,29
拉他,29
厨房,29
疼他,29
鲍二,29
后悔,28
男女,28
敢说,28
听如此说,28
半晌,28
故事,28
进京,28
待他,28
本是,28
何不,28
岂有,28
猜着,28
取笑,28
此刻,28
即忙,28
才刚,28
形容,28
皆不,28
我来,28
果见,28
告辞,28
议论,28
脸面,28
深知,28
住的,28
我又,28
失了,28
终是,28
没的,28
上的,28
的安,28
斟了,28
手内,28
在里头,28
他来,28
肚子,28
就要,28
混帐,28
劝解,28
也不必,28
连我,28
你快,28
由不得,28
恼了,28
交与,28
误了,28
吓了一跳,28
一枝,28
头里,28
更有,27
到那,27
你且,27
意欲,27
一把,27
警幻,27
不同,27
笑问道,27
自为,27
烧了,27
太爷,27
乱嚷,27
荣国府,27
成了,27
亏你,27
那样,27
上下,27
两个字,27
自是,27
舅母,27
第三,27
不语,27
美人,27
惯了,27
咳嗽,27
何等,27
转身,27
之类,27
处来,27
去找,27
到这,27
这可,27
原该,27
一半,27
有几,27
往后,27
终身,27
纳闷,27
央告,27
天气,27
田地,27
拿我,27
姑奶奶,27
只求,27
的意思,27
是你,27
方子,27
给他们,27
后头,27
来请,27
取乐,27
从来,27
我替你,27
有几个,27
人的,27
调唆,27
两三,27
与你,27
三个人,27
躺在,27
手帕子,27
小蹄子,27
理会,27
点点头儿,27
李十儿,27
一并,26
因他,26
窗外,26
怪道,26
后日,26
及至,26
十六,26
送至,26
话来,26
不忍,26
外间,26
头上,26
回家去,26
素昔,26
寂寞,26
来说,26
说明,26
含笑,26
竟有,26
我和,26
管家,26
匣子,26
又说道,26
买的,26
笑嘻嘻的,26
摇头,26
便往,26
跑来,26
不言语,26
不大好,26
兴头,26
至于,26
住在,26
的很,26
方回,26
娘儿们,26
一发,26
几次,26
往前,26
果真,26
娶亲,26
那人道,26
吵嚷,26
旨意,26
园门,26
往外,26
也算,26
造次,26
前头,26
先前,26
见识,25
看来,25
几件,25
日后,25
分明,25
门外,25
推他,25
天地,25
对联,25
顽耍,25
大哭起来,25
主人,25
至此,25
七八,25
若论,25
回房,25
一片,25
弄出,25
四十,25
皆有,25
园子里,25
自幼,25
派人,25
写的,25
便有,25
前来,25
转过,25
贾赦贾政,25
吃药,25
东边,25
比我,25
李氏,25
